Question	Answer	Source	Metadata
How many archaeologies were involved in the project?	In 2006 over 80 archaeologists, students and volunteers took part in the largest excavation to take place in Aberdeen. The Kirk of St Nicholas Uniting in Aberdeen is planning to redevelop the East Kirk as a community facility, which will be run by the non-denominational Open Space Trust (http://www.openspaceaberdeen.org.uk/).	QnA - Herald 29.3.18.docx	
How big is the excavation site?	The excavation to create a new lower level 20 x 20m in size was dug to a depth of 3.5m. Four medieval churches, nearly 900 articulated burials and 3.5 metric tonnes of disarticulated human bones were recovered. This is a           summary           of the preliminary findings as the staged post-excavation process is incomplete at time of writing.	QnA - Herald 29.3.18.docx	
What existed before the church?	Flint scatters and fish and shell processing waste indicated that this site was occupied prior to the first church being built.           A pebble surface which followed the natural slope of the site downwards to the east, may be related to the earliest church or pre-date it and two ditches may delineate boundaries of the early churchyard or slightly pre-date the structure. Steve Lancaster (then of Headland) visited the site and discussed their fills and further analysis should help with dating and interpretation.	QnA - Herald 29.3.18.docx	
When was the earliest church?	The earliest structure consisted of a semi-circular wall (or apse) enclosing a mortar floor.  This formed the east end of a church which may have been constructed in the late 11th or early 12th century. Examples have been found at Dunfermline and Coldingham Priory (both dated to around 1100) but as this type of structure is known in Europe from the time of the Roman Empire, it is likely that earlier examples were constructed in Scotland, including one excavated at the Hirsel in the Borders, which may date to the 10th century.	QnA - Herald 29.3.18.docx	
How many bodies are buried here?	Associated with the apse was a group of 23 burials of babies and children clustered outside the east end of this church          .           Very few of the burials intercut each other and they must therefore have been marked and probably also interred over a short period of time. All of the individuals were buried with their head to the west, although several were slightly off the E-W alignment giving the appearance that they were radiating out from the apse.	QnA - Herald 29.3.18.docx	
When was the excavation? How many archaeologists were involved?	One of the largest excavations in Scotland took place a team of 80 archaeologists, students and volunteers a year to complete in 2006.	QnA - article.docx	
Why was the chuch excavated?	The Kirk of St Nicholas Uniting in Aberdeen is planning to redevelop the East Kirk as a community facility run by a non-denominational Open Space Trust. The excavation created a new lower level 20 x 20m in size and was dug to a depth of 3.5m.	QnA - article.docx	
What did the excavation find?	Four medieval churches, nearly 900 articulated burials and 3.5 metric tonnes of disarticulated human bones were recovered. The earliest layers	QnA - article.docx	
How many skeletons were found?	Four medieval churches, nearly 900 articulated burials and 3.5 metric tonnes of disarticulated human bones were recovered. The earliest layers	QnA - article.docx	
What was there before the church?	Several areas showed activity prior to the construction of the first church.A scatter of flint flakes in one area indicated that flint tools had been made or repaired on the site perhaps as long as 8000 years ago. Above this was a layer of burnt ash containing a large amount of fish bones through which features relating to the earliest stone church were cut, suggesting that processing of fish had taken place in the area.	QnA - article.docx	
